EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,GEOTRC_EVENTNO,GEOTRC_SAMPNO,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,Sigma0,REFTMP,REFTMP_FLAG_W,BTL_DATE,BTL_TIME,BTL_ISO_DateTime_UTC,BTL_LAT,BTL_LON,SILICATE_D_CONC_BOTTLE_3fot83,Flag_SILICATE_D_CONC_BOTTLE_3fot83,PHOSPHATE_D_CONC_BOTTLE_d0rgav,Flag_PHOSPHATE_D_CONC_BOTTLE_d0rgav,NITRATE_D_CONC_BOTTLE_bugat8,Flag_NITRATE_D_CONC_BOTTLE_bugat8,NITRITE_D_CONC_BOTTLE_sxduhh,Flag_NITRITE_D_CONC_BOTTLE_sxduhh,OXYGEN_D_CONC_BOTTLE_n41f8b,Flag_OXYGEN_D_CONC_BOTTLE_n41f8b,SALINITY_D_CONC_BOTTLE_zva7jm,Flag_SALINITY_D_CONC_BOTTLE_zva7jm,SILICATE_D_CONC_FISH_7yvjjv,Flag_SILICATE_D_CONC_FISH_7yvjjv,PHOSPHATE_D_CONC_FISH_vdvft4,Flag_PHOSPHATE_D_CONC_FISH_vdvft4,NITRATE_D_CONC_FISH_0w2yqg,Flag_NITRATE_D_CONC_FISH_0w2yqg,NITRITE_D_CONC_FISH_txbmxd,Flag_NITRITE_D_CONC_FISH_txbmxd,SALINITY_D_CONC_FISH_yp29up,Flag_SALINITY_D_CONC_FISH_yp29up,SILICATE_D_CONC_PUMP_nttq7z,Flag_SILICATE_D_CONC_PUMP_nttq7z,PHOSPHATE_D_CONC_PUMP_l3cyv3,Flag_PHOSPHATE_D_CONC_PUMP_l3cyv3,NITRATE_D_CONC_PUMP_cm2gtk,Flag_NITRATE_D_CONC_PUMP_cm2gtk,NITRITE_D_CONC_PUMP_ggojec,Flag_NITRITE_D_CONC_PUMP_ggojec,OXYGEN_D_CONC_PUMP_vehiol,Flag_OXYGEN_D_CONC_PUMP_vehiol,SALINITY_D_CONC_PUMP_8noyqg,Flag_SALINITY_D_CONC_PUMP_8noyqg,SILICATE_D_CONC_UWAY_ajega0,Flag_SILICATE_D_CONC_UWAY_ajega0,PHOSPHATE_D_CONC_UWAY_f1jl3i,Flag_PHOSPHATE_D_CONC_UWAY_f1jl3i,NITRATE_D_CONC_UWAY_mvcqwu,Flag_NITRATE_D_CONC_UWAY_mvcqwu,NITRITE_D_CONC_UWAY_7caiyo,Flag_NITRITE_D_CONC_UWAY_7caiyo,OXYGEN_D_CONC_UWAY_ulgjid,Flag_OXYGEN_D_CONC_UWAY_ulgjid,SALINITY_D_CONC_UWAY_fwcxbm,Flag_SALINITY_D_CONC_UWAY_fwcxbm,CTDRINKO,CTDRINKO_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDOXY,CTDOXY_FLAG_W
33RR20180918,GP15,18.6,2,18,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,632.5,5.6442,34.4052,3,27.142,nd,9,20181025,1507,2018-10-25T15:07Z,18.9064,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.702,1,31.9,3
33RR20180918,GP15,18.6,2,19,GF-15,2,6774,13929,20181025,1442,18.9064,-155.258,1333,632.8,5.6463,34.4052,2,27.142,nd,9,20181025,1507,2018-10-25T15:07Z,18.9064,-155.258,77.62,2,2.93,2,39.82,2,0,2,nd,9,34.4036,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.703,1,32.3,2
33RR20180918,GP15,18.6,2,20,GF-26,2,6774,13930,20181025,1442,18.9064,-155.258,1333,632.8,5.6463,34.4052,2,27.142,nd,9,20181025,1507,2018-10-25T15:07Z,18.9064,-155.258,77.42,2,2.9,2,39.52,2,0,2,nd,9,34.4038,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.703,1,32.3,2
33RR20180918,GP15,18.6,2,21,GF-31,2,6774,13931,20181025,1442,18.9064,-155.258,1333,97.7,23.3827,35.0092,2,23.838,nd,9,20181025,1518,2018-10-25T15:18Z,18.9064,-155.258,0,2,0.05,2,0,2,0.12,2,nd,9,35.0198,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.01,1,4.665,1,211,2
33RR20180918,GP15,18.6,2,22,GF-44,2,6774,13932,20181025,1442,18.9064,-155.258,1333,97.7,23.3827,35.0092,2,23.838,nd,9,20181025,1518,2018-10-25T15:18Z,18.9064,-155.258,0.2,2,0.06,2,0,2,0.11,2,nd,9,35.0147,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.01,1,4.665,1,211,2
33RR20180918,GP15,18.6,2,23,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,98.2,23.4085,35.0083,3,23.83,nd,9,20181025,1518,2018-10-25T15:18Z,18.9064,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.009,1,4.664,1,211.2,3
33RR20180918,GP15,18.6,2,24,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,97.5,23.4234,35.0071,3,23.825,nd,9,20181025,1518,2018-10-25T15:18Z,18.9064,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.009,1,4.664,1,211.2,3
33RR20180918,GP15,18.6,3,1,GSNIS-2,2,6775,13941,20181025,1559,18.9064,-155.258,1333,1302.6,3.7521,34.5346,2,27.464,3.7514,2,20181025,1559,2018-10-25T15:59Z,18.9064,-155.2581,115.4,2,3.03,2,42.25,2,0,2,50.4,2,34.5349,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,2.842,1,0.018,1,4.683,1,50.3,2
33RR20180918,GP15,18.6,3,2,GSNIS-3,2,6775,13941,20181025,1559,18.9064,-155.258,1333,1302.1,3.7524,34.5343,2,27.463,nd,9,20181025,1559,2018-10-25T15:59Z,18.9064,-155.2581,115.5,2,3.03,2,42.2,2,0,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,2.842,1,0.018,1,4.683,1,49.6,2
33RR20180918,GP15,18.6,3,3,GSNIS-4,2,6775,13941,20181025,1559,18.9064,-155.258,1333,1303.5,3.7516,34.5344,2,27.464,nd,9,20181025,1559,2018-10-25T15:59Z,18.9064,-155.2581,115.5,2,3.03,2,42.21,2,0,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,2.842,1,0.017,1,4.683,1,50.5,2
